ID,Ws,WD_cos,WD_sin,temp,SurfPressure,ln(conc)
98,4.08,-0.149535343,-0.988756381,269.1,815,9.44E+00
99,3.92,-0.121869343,-0.992546152,269.1,816,2.85E-01
100,3.82,-0.059306374,-0.998239828,269.8,816,-7.50E+00
101,3.9,0.055821505,-0.998440764,271.2,816,-9.77E+00
102,3.9,0.125333234,-0.992114701,272.5,815,-2.06E+00
103,3.97,0.142628934,-0.989776231,272.2,816,1.23E+01
104,4.52,0.00698126,-0.999975631,272.1,816,1.03E+01
105,3.58,-0.270600446,-0.962691746,273.5,816,2.53E+00
106,3.65,-0.230049737,-0.973178873,274.8,816,-1.46E+00
107,3.22,0.031410759,-0.99950656,275.5,816,-1.26E+00
108,2.71,0.280666709,-0.959805292,275.6,816,1.51E+00
109,2.08,0.315649037,-0.948876012,275.7,816,-2.34E+00
110,1.58,-0.04884977,-0.998806137,275.2,815,-5.18E+00
111,1.71,-0.675590208,-0.737277337,274.2,815,-6.62E+00
112,3.9,0.118403968,-0.992965508,272.7,816,-1.48E+00
113,4.33,0.034899497,-0.999390827,273.8,814,-3.87E-02
114,4.22,0.087155743,-0.996194698,274.1,815,-5.87E-01
115,4.47,0.11493715,-0.993372766,274.4,815,-3.71E-01
116,4.73,0.152985836,-0.988228381,274.5,815,1.10E+00
117,5.07,0.268919821,-0.963162567,273.9,815,7.70E+00
118,5.09,0.411514359,-0.911403277,273.6,815,1.29E+01
119,4.78,0.425779292,-0.904827052,273.4,815,1.12E+01
120,5.59,0.330514393,-0.943800952,274,815,1.05E+01
121,6.03,0.262189179,-0.965016494,274.4,814,1.24E+01
122,6.38,0.199367934,-0.979924705,273.8,814,8.49E+00
123,5.89,0.211324796,-0.977415894,273.4,814,5.77E+00
124,5.12,0.068015291,-0.997684279,272.4,814,6.94E+00
125,5.05,-0.087155743,-0.996194698,272.1,814,7.65E+00
126,5.21,-0.250380004,-0.96814764,272.3,813,3.50E+00
127,5.96,-0.307356618,-0.951594404,272.5,813,7.03E-01
128,5.99,-0.257132793,-0.966376079,273.1,814,5.01E-01
129,5.83,-0.130526192,-0.991444861,275.1,813,-5.29E+00
130,5.91,-0.043619387,-0.999048222,276.2,812,-7.80E+00
131,5.85,-0.156434465,-0.987688341,276.7,812,-5.80E+00
132,5.45,-0.260504509,-0.965472631,277,812,-1.94E+00
133,5.16,-0.364876784,-0.931055816,277,812,-2.49E+00
134,4.24,-0.240228042,-0.970716482,276.8,811,-5.49E+00
135,2.35,-0.280666709,-0.959805292,275.9,811,-2.12E+00
136,3.56,-0.563526049,-0.826098294,273.5,811,-1.16E+01
137,4.65,-0.201077921,-0.97957525,273.4,808,-8.46E+00
138,4.6,0.059306374,-0.998239828,273.3,808,-8.82E+00
139,6.4,0.416280792,-0.909236109,273.6,808,-7.23E+00
140,7.41,0.600420225,-0.799684658,272.3,807,-9.60E+00
141,7.84,0.612907054,-0.790155012,272.3,807,-2.14E+01
142,5.76,0.444635179,-0.89571176,271.8,807,2.58E+00
143,6.23,0.41310443,-0.910683661,272.3,807,5.95E+00
144,5.28,0.238533458,-0.97113428,270,807,-7.77E-01
145,7.25,0.351841648,-0.936059536,270.3,806,-2.94E+00
146,7.91,0.460199785,-0.887815385,270.1,807,4.62E+00
147,6.58,0.525471651,-0.850811109,269.5,807,-1.77E+00
148,7.2,0.693401828,-0.720551112,269.8,807,-8.44E+00
149,8.09,0.832921241,-0.553391549,270.1,808,-2.46E+01
150,6.37,0.817144898,-0.576432316,269.2,809,-7.34E+00
151,2.47,-0.29570805,-0.955278362,265.8,810,-7.53E+00
152,3.03,-0.903335293,-0.428935133,267.8,810,-6.99E+00
153,4.12,0.364876784,-0.931055816,270.8,811,-7.06E+00
154,4.62,0.273959219,-0.96174131,271,811,-3.00E+00
155,5.36,0.368124553,-0.929776486,271.4,811,2.15E-01
156,5.29,0.416280792,-0.909236109,271.8,812,-4.40E+00
157,6,0.436801788,-0.899557779,271.7,812,0.00E+00
158,4.95,0.219846204,-0.975534544,271,812,-5.52E+00
159,4.83,0.202787295,-0.979222811,270.1,812,-6.39E+00
160,3.83,0.081938509,-0.996637387,269.2,812,0.00E+00
161,3.87,-0.233445364,-0.97236992,269.3,812,0.00E+00
162,3.53,-0.280666709,-0.959805292,268.2,812,0.00E+00
163,3.52,-0.807989884,-0.589196357,267.9,813,0.00E+00
164,3.48,-0.75470958,-0.656059029,267.6,813,0.00E+00
165,3.67,-0.782608157,-0.622514637,267.9,813,0.00E+00
166,3.84,-0.732542899,-0.680720869,268.6,813,-5.64E+00
167,4.1,-0.698415285,-0.715692734,269,814,1.07E+00
168,3.97,-0.557745109,-0.830012285,268.8,813,4.07E+00
169,3.96,-0.680720869,-0.732542899,268.7,813,-9.52E-01
170,3.89,-0.815127796,-0.579281172,268.7,813,-9.09E-01
171,3.69,-0.71447268,-0.699663341,269.3,814,-2.42E+00
172,3.55,-0.526955795,-0.849892693,270.4,814,-1.75E+01
173,4.34,-0.353474844,-0.935444031,271.3,814,0.00E+00
174,5.51,-0.325568154,-0.945518576,271.6,813,0.00E+00
175,5.93,-0.395545503,-0.918446381,271.5,813,-1.34E+01
176,6.32,-0.444635179,-0.89571176,271.3,814,-9.01E+00
